Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,56,0.0020357142857142844,-0.044149999999999995,48.214285714285715,0.3389925925925926,-0.31168275862068967,0.002035714285714335
2,56,-0.13026428571428572,-0.0577,46.42857142857143,0.3479769230769231,-0.5635241379310344,-0.1403272167487684
3,56,0.022403571428571432,0.0121,51.78571428571429,0.4220275862068966,-0.42246923076923076,0.014859478021978095
4,56,-0.1447892857142857,-0.043399999999999994,46.42857142857143,0.2108730769230769,-0.45303,-0.1447892857142857
5,56,0.039596428571428574,-0.051500000000000004,44.642857142857146,0.447216,-0.2891290322580645,0.039596428571428616
6,56,0.03481785714285714,0.051000000000000004,55.35714285714286,0.4319096774193549,-0.45757600000000004,0.03481785714285718
7,56,-0.060351785714285726,-0.0858,42.857142857142854,0.3907583333333333,-0.398684375,-0.06035178571428573
8,56,-0.0650375,-0.07605,41.07142857142857,0.3046434782608695,-0.32269393939393937,-0.0650375
9,56,-0.049800000000000004,-0.0215,50.0,0.2589035714285714,-0.35850357142857137,-0.04979999999999998
10,56,-0.09588035714285714,-0.10600000000000001,39.285714285714285,0.292659090909091,-0.3472882352941176,-0.09588035714285713
11,56,0.07732499999999999,-0.03995,44.642857142857146,0.495176,-0.25965161290322586,0.077325
12,56,-0.04343214285714285,-0.06945,41.07142857142857,0.40583043478260866,-0.36769687500000003,-0.049998158482142896
13,56,-0.061116071428571436,-0.04975,50.0,0.3616678571428572,-0.48389999999999994,-0.06111607142857137
14,56,-0.08838035714285715,-0.096,35.714285714285715,0.37577000000000005,-0.3462416666666666,-0.08838035714285705
15,56,-0.060541071428571444,-0.05005,39.285714285714285,0.4760136363636364,-0.4077235294117647,-0.06054107142857146
16,56,-0.014932142857142854,-0.041749999999999995,39.285714285714285,0.3876409090909091,-0.27542058823529414,-0.014932142857142894
17,56,-0.00849285714285715,-0.04485,41.07142857142857,0.40621304347826087,-0.297530303030303,-0.008492857142857108
18,56,-0.0867125,-0.0709,39.285714285714285,0.2497863636363636,-0.31367272727272727,-0.09231379870129873
19,56,-0.04005892857142857,-0.05795,39.285714285714285,0.3538545454545455,-0.29494411764705886,-0.04005892857142859
20,56,-0.025389285714285708,-0.1128,41.07142857142857,0.4699565217391304,-0.37063030303030303,-0.025389285714285753
21,56,-0.019057142857142856,-0.0675,41.07142857142857,0.38912173913043485,-0.3035454545454545,-0.0190571428571428
22,56,0.09206607142857144,0.01685,51.78571428571429,0.4522,-0.3060807692307692,0.08660034340659345
23,56,0.06822857142857143,0.0036,50.0,0.459525,-0.3479192307692308,0.0558028846153846
24,56,-0.06455535714285714,-0.07335,44.642857142857146,0.300088,-0.3586225806451613,-0.0645553571428571
25,56,-0.05800178571428571,-0.0479,42.857142857142854,0.3036,-0.329203125,-0.05800178571428574
26,56,-0.05708571428571429,-0.057749999999999996,42.857142857142854,0.26768333333333333,-0.3103612903225807,-0.06262788018433185
27,56,-0.04403571428571428,0.027700000000000002,53.57142857142857,0.22424333333333335,-0.3535884615384616,-0.0440357142857143
28,56,-0.052776785714285714,-0.0132,48.214285714285715,0.43277037037037036,-0.5228678571428571,-0.06211371173469385
29,56,-0.11578571428571428,-0.1023,37.5,0.33399523809523807,-0.3856542857142857,-0.1157857142857143
30,56,-0.16196607142857142,-0.21115,33.92857142857143,0.3836105263157895,-0.4421270270270271,-0.16196607142857147
