Rank,Factor,60,120,180,365,730,Score,Qualified
1,VWAP_Distance,0.3,0.229,0.118,0.074,0.034,0.208,True
2,ORB_Range,0.297,0.199,0.142,0.082,0.036,0.204,True
3,RS_15,0.303,0.195,0.137,0.056,0.041,0.2,True
4,Previous_Day_Return,0.273,0.191,0.133,0.111,0.041,0.196,True
5,RS_60,0.317,0.182,0.082,0.057,0.076,0.191,True
6,ORB_Low,0.329,0.117,0.085,0.052,0.029,0.175,True
7,ATR_Percent,0.238,0.153,0.103,0.073,0.079,0.161,True
8,RVOL,0.224,0.152,0.122,0.044,0.023,0.155,True
9,Gap,0.206,0.14,0.122,0.051,0.039,0.146,True
10,ORB_Body,0.238,0.094,0.095,0.08,0.028,0.143,False
11,EMA20_Distance,0.214,0.131,0.095,0.04,0.04,0.139,False
12,ORB_Percent,0.212,0.085,0.118,0.063,0.022,0.133,False
13,RS_30,0.259,0.083,0.052,0.028,0.066,0.13,False
14,ORB_High,0.206,0.11,0.08,0.03,0.059,0.126,False
